Fp1,Fp2,O2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.5912,0.2628,0.3455,0.5523,0.2920,0.3552,0.5134,0.08759,0.1655,0.09002,0.05353,0.08029,0.05353,0.1265,0.1655,0.2092,0.1290,0.2603
0.5912, 1.000,0.2968,0.1995,0.3869,0.4063,0.5693,0.7348,0.07543,0.1557,0.09489,0.04866,0.07299,0.05353,0.1241,0.1679,0.2190,0.1606,0.2165
0.2628,0.2968, 1.000,0.1387,0.2384,0.2409,0.2895,0.2482,0.07056,0.2117,0.09489,0.06083,0.06813,0.03163,0.04623,0.08029,0.1630,0.2603,0.1630
0.3455,0.1995,0.1387, 1.000,0.3285,0.1265,0.1363,0.2092,0.1314,0.1533,0.07543,0.03893,0.05353,0.05109,0.04623,0.08516,0.1582,0.08759,0.1265
0.5523,0.3869,0.2384,0.3285, 1.000,0.3212,0.3090,0.3309,0.07056,0.2482,0.07786,0.04866,0.06083,0.09246,0.1046,0.1290,0.1557,0.1387,0.2579
0.2920,0.4063,0.2409,0.1265,0.3212, 1.000,0.6058,0.3406,0.06083,0.1411,0.1387,0.1144,0.09976,0.1046,0.09002,0.08516,0.07786,0.1338,0.2214
0.3552,0.5693,0.2895,0.1363,0.3090,0.6058, 1.000,0.5304,0.05839,0.1533,0.1192,0.1144,0.1119,0.06569,0.1144,0.1144,0.1095,0.1314,0.2117
0.5134,0.7348,0.2482,0.2092,0.3309,0.3406,0.5304, 1.000,0.07786,0.1436,0.07786,0.04866,0.09246,0.04136,0.1484,0.1922,0.1922,0.1460,0.1873
0.08759,0.07543,0.07056,0.1314,0.07056,0.06083,0.05839,0.07786, 1.000,0.07786,0.09976,0.03893,0.05353,0.1241,0.01217,0.07543,0.1217,0.05596,0.06326
0.1655,0.1557,0.2117,0.1533,0.2482,0.1411,0.1533,0.1436,0.07786, 1.000,0.1046,0.04623,0.07543,0.06813,0.08029,0.06083,0.1168,0.1898,0.1119
0.09002,0.09489,0.09489,0.07543,0.07786,0.1387,0.1192,0.07786,0.09976,0.1046, 1.000,0.2555,0.04136,0.1144,0.02920,0.05353,0.06083,0.06569,0.09489
0.05353,0.04866,0.06083,0.03893,0.04866,0.1144,0.1144,0.04866,0.03893,0.04623,0.2555, 1.000,0.09976,0.09489,0.05596,0.02190,0.01946,0.03406,0.09246
0.08029,0.07299,0.06813,0.05353,0.06083,0.09976,0.1119,0.09246,0.05353,0.07543,0.04136,0.09976, 1.000,0.03893,0.1825,0.09976,0.03163,0.04136,0.07543
0.05353,0.05353,0.03163,0.05109,0.09246,0.1046,0.06569,0.04136,0.1241,0.06813,0.1144,0.09489,0.03893, 1.000,0.04623,0.03406,0.04136,0.01217,0.1387
0.1265,0.1241,0.04623,0.04623,0.1046,0.09002,0.1144,0.1484,0.01217,0.08029,0.02920,0.05596,0.1825,0.04623, 1.000,0.1363,0.03650,0.03893,0.07786
0.1655,0.1679,0.08029,0.08516,0.1290,0.08516,0.1144,0.1922,0.07543,0.06083,0.05353,0.02190,0.09976,0.03406,0.1363, 1.000,0.1727,0.04136,0.06083
0.2092,0.2190,0.1630,0.1582,0.1557,0.07786,0.1095,0.1922,0.1217,0.1168,0.06083,0.01946,0.03163,0.04136,0.03650,0.1727, 1.000,0.1509,0.07786
0.1290,0.1606,0.2603,0.08759,0.1387,0.1338,0.1314,0.1460,0.05596,0.1898,0.06569,0.03406,0.04136,0.01217,0.03893,0.04136,0.1509, 1.000,0.07299
0.2603,0.2165,0.1630,0.1265,0.2579,0.2214,0.2117,0.1873,0.06326,0.1119,0.09489,0.09246,0.07543,0.1387,0.07786,0.06083,0.07786,0.07299, 1.000
